status,selection_basis,w_ce_score,w_embedding_score,w_source_rank,w_ce_rank,w_embedding_rank,cv_claims_with_evidence,cv_macro_recall@1,cv_micro_recall@1,cv_hit_any@1,cv_evidence_f@1,cv_macro_recall@3,cv_micro_recall@3,cv_hit_any@3,cv_evidence_f@3,cv_macro_recall@5,cv_micro_recall@5,cv_hit_any@5,cv_evidence_f@5,cv_macro_recall@10,cv_micro_recall@10,cv_hit_any@10,cv_evidence_f@10,cv_macro_recall@64,cv_micro_recall@64,cv_hit_any@64,cv_evidence_f@64,cv_macro_recall@100,cv_micro_recall@100,cv_hit_any@100,cv_evidence_f@100,cv_macro_recall@500,cv_micro_recall@500,cv_hit_any@500,cv_evidence_f@500,dev_claims_with_evidence,dev_macro_recall@1,dev_micro_recall@1,dev_hit_any@1,dev_evidence_f@1,dev_macro_recall@3,dev_micro_recall@3,dev_hit_any@3,dev_evidence_f@3,dev_macro_recall@5,dev_micro_recall@5,dev_hit_any@5,dev_evidence_f@5,dev_macro_recall@10,dev_micro_recall@10,dev_hit_any@10,dev_evidence_f@10,dev_macro_recall@64,dev_micro_recall@64,dev_hit_any@64,dev_evidence_f@64,dev_macro_recall@100,dev_micro_recall@100,dev_hit_any@100,dev_evidence_f@100,dev_macro_recall@500,dev_micro_recall@500,dev_hit_any@500,dev_evidence_f@500
strict-candidate,train_kfold,0.25,0.5,0.0,0.25,0.0,245.6,0.09131978319783199,0.07488186155549371,0.2516144018583043,0.12481389303688957,0.19602947845804988,0.16388817360240826,0.41936618549858967,0.17550358308247804,0.24776854156296668,0.21577566418990038,0.4943089430894309,0.17146642489748515,0.3249651014877496,0.2940898711186792,0.583919031027045,0.14498375447902576,0.5074263591615508,0.48157331407434123,0.7590077982412478,0.04766251881839205,0.5404792876500194,0.5169754078890679,0.7850771528123445,0.0334206736721646,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11504329004329003,0.0835030549898167,0.2662337662337662,0.14826839826839827,0.23874458874458873,0.1955193482688391,0.487012987012987,0.204700061842919,0.2962121212121212,0.25865580448065173,0.5584415584415584,0.19746959389816535,0.3958874458874459,0.3543788187372709,0.6753246753246753,0.167240984124101,0.5816017316017316,0.5498981670061099,0.8441558441558441,0.05176737233947116,0.6143939393939394,0.5845213849287169,0.8701298701298701,0.03591988343472038,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.5,0.0,0.0,0.25,245.6,0.09131978319783199,0.07488186155549371,0.2516144018583043,0.12481389303688957,0.19535031248271667,0.16339097017853382,0.41773685083789613,0.17490604976020604,0.24840473425142412,0.21623983812155245,0.4951186328189813,0.17188323443973022,0.32455693822244347,0.29386089345539573,0.5863580554172889,0.14484770005725706,0.5081438526630164,0.4815761871849646,0.7606338145014103,0.0476642297101748,0.539908522758697,0.5164782044651935,0.7858901609424257,0.03338918140045917,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11829004329004328,0.0855397148676171,0.2727272727272727,0.1525974025974026,0.23658008658008656,0.1934826883910387,0.487012987012987,0.20253555967841683,0.2962121212121212,0.25865580448065173,0.5584415584415584,0.19746959389816535,0.39426406926406926,0.35234215885947046,0.6753246753246753,0.16631334033931436,0.5803030303030302,0.5478615071283096,0.8441558441558441,0.05157915475994923,0.6143939393939394,0.5845213849287169,0.8701298701298701,0.03591988343472038,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.5,0.25,0.0,0.0,245.6,0.09131978319783199,0.07488186155549371,0.2516144018583043,0.12481389303688957,0.19476583153586638,0.16316517463981034,0.4185531773685084,0.1744961640870053,0.2491271500470107,0.216489212368331,0.497567612410818,0.17214565671409873,0.32434079973452795,0.29386830032147077,0.583919031027045,0.14481478833096553,0.5086323212211713,0.48231552135944444,0.7606338145014103,0.04773502225483495,0.5406425529561418,0.517210702006715,0.7850771528123445,0.03343622274893816,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11796536796536797,0.0855397148676171,0.2727272727272727,0.15216450216450217,0.23874458874458873,0.1955193482688391,0.487012987012987,0.204700061842919,0.2962121212121212,0.25865580448065173,0.5584415584415584,0.19746959389816535,0.3971861471861472,0.3564154786150713,0.6753246753246753,0.16810678498990186,0.5803030303030302,0.5478615071283096,0.8441558441558441,0.05157915475994923,0.6143939393939394,0.5845213849287169,0.8701298701298701,0.03591988343472038,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.0,0.0,0.0,0.75,0.25,245.6,0.09035202698965765,0.07415715641307719,0.2491687406669985,0.12445683313975997,0.19288479619490073,0.16337764498260615,0.41449477351916375,0.17435280918406854,0.24591045849234003,0.21651394700872095,0.48778496764559487,0.1715387949992231,0.33058254521320724,0.2973073321641476,0.5904330512692881,0.14665266330373347,0.518009014988109,0.4932802571602414,0.7720391571262651,0.04880166752268686,0.549801393728223,0.5261858427142394,0.7964725402356064,0.03401278758788,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.09502164502164502,0.07128309572301425,0.22727272727272727,0.12294372294372294,0.23441558441558444,0.1955193482688391,0.487012987012987,0.20343228200371058,0.2987012987012987,0.25865580448065173,0.5584415584415584,0.19807771593485882,0.39826839826839827,0.35234215885947046,0.6623376623376623,0.1664331339656015,0.5771645021645022,0.5478615071283096,0.8311688311688312,0.05156221307463469,0.6196969696969697,0.5865580448065173,0.8766233766233766,0.0360448767680602,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.5,0.0,0.0,245.6,0.09025540622753167,0.07318762758998702,0.24590343454454952,0.12317880648194238,0.1921482218903822,0.16223383583097115,0.41122946739671484,0.1732588431423673,0.2513865383551795,0.21790484500703572,0.4918798739007798,0.1733228645697536,0.33112720535368617,0.2987024048494554,0.5830993860959017,0.14725838643409575,0.5125324926718655,0.4869102071373111,0.7639024390243903,0.0481861762919128,0.5449858967977435,0.5211103711075571,0.7891488302638129,0.03368699157232828,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.23766233766233766,0.1955193482688391,0.474025974025974,0.20426716141001858,0.3094155844155844,0.26883910386965376,0.5714285714285714,0.20595753452896312,0.38755411255411254,0.34623217922606925,0.6623376623376623,0.16336628739226142,0.5823593073593074,0.5519348268839104,0.8441558441558441,0.051952739389364684,0.6121212121212121,0.5885947046843177,0.8636363636363636,0.03616354594853848,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.75,0.0,0.0,0.0,245.6,0.08826840329627786,0.07268394660161304,0.24429069188651073,0.1209620043139207,0.19222404734251425,0.1609341823989511,0.4120325203252032,0.17233421824014158,0.24433239311984956,0.21285104571050123,0.4918632818981251,0.16911087671615296,0.3214920081853879,0.29021408973982854,0.5855483656877385,0.14314929404426666,0.5062451191858857,0.478893749510693,0.7581981085116973,0.04740436526102172,0.5391761517615177,0.5155062381190321,0.7858901609424257,0.03332687691107653,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.10346320346320347,0.07331975560081466,0.23376623376623376,0.1316017316017316,0.23387445887445887,0.19144602851323828,0.4805194805194805,0.2000618429189858,0.28300865800865804,0.24643584521384929,0.551948051948052,0.18782209853638426,0.3978354978354978,0.3564154786150713,0.6883116883116883,0.16823047082787343,0.5764069264069264,0.5417515274949084,0.8441558441558441,0.051014502021383454,0.6117965367965368,0.5804480651731161,0.8701298701298701,0.035672511758777274,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.25,0.0,0.25,245.6,0.09005049499474586,0.07318100212168688,0.24590011614401858,0.12295979204690007,0.1912809026049444,0.16077546621622835,0.4112261489961838,0.17192488563369598,0.25050677506775065,0.2169260898226722,0.48781151484984236,0.17269726179283174,0.328767822576185,0.2969716347871286,0.5806636801061889,0.14638992079211094,0.5125549471821249,0.48740778509574556,0.7638958022233284,0.048233337143917775,0.543110336817654,0.519661500071738,0.7883325037332006,0.03359281360376616,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.23766233766233766,0.1955193482688391,0.474025974025974,0.20426716141001858,0.3074675324675325,0.26883910386965376,0.5714285714285714,0.20540094825809113,0.38755411255411254,0.34623217922606925,0.6623376623376623,0.16336628739226142,0.581060606060606,0.5498981670061099,0.8441558441558441,0.051764521809842756,0.6108225108225108,0.5865580448065173,0.8636363636363636,0.03603986011056693,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.0,0.25,0.25,245.6,0.08927963055140756,0.07294184233098336,0.24509374481499915,0.12220341795254688,0.19124135833195066,0.1605296809572247,0.41041645926663345,0.17183307655233987,0.24939317515624135,0.2164585203420361,0.4845528455284553,0.17223425274097254,0.32702748741773136,0.29553278250882753,0.5749593495934959,0.14568138824286164,0.5116761794148553,0.48618737154461505,0.763086112493778,0.048115062716695564,0.5428647751783641,0.5196588381257726,0.7875128588020575,0.03359229307034955,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.11893939393939394,0.08961303462321792,0.2857142857142857,0.15476190476190477,0.2409090909090909,0.1975560081466395,0.4805194805194805,0.20686456400742115,0.3064935064935065,0.2668024439918534,0.5714285714285714,0.20424654710368997,0.3891774891774892,0.34826883910386963,0.6623376623376623,0.16429393117704805,0.581060606060606,0.5498981670061099,0.8441558441558441,0.051764521809842756,0.6108225108225108,0.5865580448065173,0.8636363636363636,0.03603986011056693,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.0,0.0,0.5,245.6,0.08923881422487694,0.07294184233098336,0.24509374481499915,0.12214899618383938,0.1912007079254466,0.16053364447955956,0.4104131408661026,0.1718040405476941,0.25022012056855264,0.21720067983238303,0.48780819644931145,0.1728027579595524,0.3271772025883524,0.29599752667359647,0.5765886842541895,0.1458804667485603,0.5116355290083513,0.48520626342822276,0.7638991206238593,0.048021904535458036,0.5425395719263315,0.5191808930789257,0.7858868425418948,0.03356132133206073,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.23766233766233766,0.1955193482688391,0.474025974025974,0.20426716141001858,0.3064935064935065,0.2668024439918534,0.5714285714285714,0.20424654710368997,0.3878787878787879,0.34623217922606925,0.6623376623376623,0.1634281303112472,0.5832251082251082,0.5519348268839104,0.8441558441558441,0.051958357824574294,0.6079004329004328,0.5824847250509165,0.8636363636363636,0.035791299147720244,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
strict-candidate,train_kfold,0.25,0.25,0.25,0.25,0.0,245.6,0.09066273989270504,0.07367851455949784,0.24753276920524306,0.12383054034621979,0.19066932138709142,0.16077181170783,0.4087871246059399,0.1717507881201261,0.2513182899175931,0.2174274679335396,0.489434212709474,0.17309643904019217,0.3290923621481113,0.29649739204343617,0.5790343454454953,0.1462120947466891,0.5127344173441734,0.48715171986004335,0.7647154471544716,0.04820989592469345,0.5441695702671312,0.5208521163097282,0.7891455118632819,0.03367082669053397,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.007627412960809936,154.0,0.12218614718614719,0.09164969450101833,0.2922077922077922,0.1590909090909091,0.23766233766233766,0.1955193482688391,0.474025974025974,0.20426716141001858,0.3074675324675325,0.26883910386965376,0.5714285714285714,0.20540094825809113,0.38755411255411254,0.34623217922606925,0.6623376623376623,0.16336628739226142,0.5836580086580087,0.5539714867617108,0.8441558441558441,0.05214095696888661,0.6108225108225108,0.5865580448065173,0.8636363636363636,0.03603986011056693,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.0080165281643477
