system,family,evidence_f,claim_accuracy,harmonic_mean,claim_macro_f1,macro_recall,micro_recall,hit_any,all_gold,precision,supports_recall,refutes_recall,nei_recall,disputed_recall
Round08 TF-IDF logreg,Sparse classifier,0.20111317254174396,0.4675324675324675,0.2812459460628162,0.4375789985415654,0.23214285714285715,0.1934826883910387,0.45454545454545453,0.11038961038961038,0.20562770562770563,0.3377450980392157,0.08641975308641975,0.13170731707317074,0.28055555555555556
Round09 TF-IDF logreg,Sparse classifier,0.21054421768707482,0.44805194805194803,0.28647220191424144,0.41416359932402713,0.24458874458874458,0.20162932790224034,0.461038961038961,0.11038961038961038,0.21428571428571427,0.32916666666666666,0.1419753086419753,0.13658536585365855,0.32499999999999996
DistilRoBERTa fusion top10,Neural classifier,0.20111317254174396,0.525974025974026,0.2909700659126533,0.454334250386882,0.23214285714285715,0.1934826883910387,0.45454545454545453,0.11038961038961038,0.20562770562770563,0.3377450980392157,0.08641975308641975,0.13170731707317074,0.28055555555555556
DistilRoBERTa blend top10,Neural classifier,0.21054421768707482,0.525974025974026,0.3007143157023504,0.4045077109138164,0.24458874458874458,0.20162932790224034,0.461038961038961,0.11038961038961038,0.21428571428571427,0.32916666666666666,0.1419753086419753,0.13658536585365855,0.32499999999999996
Final: Round09 evidence + fusion-label classifier,Final combined,0.21054421768707482,0.525974025974026,0.3007143157023504,0.454334250386882,0.24458874458874458,0.20162932790224034,0.461038961038961,0.11038961038961038,0.21428571428571427,0.32916666666666666,0.1419753086419753,0.13658536585365855,0.32499999999999996
Final: Round09 evidence + blend-label classifier,Final combined,0.21054421768707482,0.525974025974026,0.3007143157023504,0.4045077109138164,0.24458874458874458,0.20162932790224034,0.461038961038961,0.11038961038961038,0.21428571428571427,0.32916666666666666,0.1419753086419753,0.13658536585365855,0.32499999999999996
