system,family,evidence_f,claim_accuracy,harmonic_mean,claim_macro_f1,macro_recall,micro_recall,hit_any,all_gold,precision,supports_recall,refutes_recall,nei_recall,disputed_recall
TF-IDF top3,Sparse lexical,0.05326221397649969,0.44155844155844154,0.09505819910444187,0.15315315315315314,0.06244588744588745,0.05091649694501019,0.14935064935064934,0.01948051948051948,0.05411255411255411,0.09264705882352942,0.012345679012345678,0.03414634146341463,0.08796296296296297
BM25 top3,Sparse lexical,0.0682282003710575,0.44155844155844154,0.1181935160645014,0.15315315315315314,0.0762987012987013,0.06720977596741344,0.2012987012987013,0.01948051948051948,0.07142857142857142,0.11225490196078432,0.012345679012345678,0.05365853658536586,0.08796296296296297
MiniLM zero-shot top3,Cross-encoder rerank,0.16419294990723562,0.44155844155844154,0.23937471410672026,0.15315315315315314,0.18766233766233764,0.15885947046843177,0.3961038961038961,0.07142857142857142,0.16883116883116883,0.27499999999999997,0.04938271604938271,0.10731707317073172,0.24814814814814815
RRF + MiniLM top3,Candidate rescue,0.19874768089053801,0.44155844155844154,0.2741148746219373,0.15315315315315314,0.2331168831168831,0.1894093686354379,0.45454545454545453,0.1038961038961039,0.2012987012987013,0.3139705882352941,0.17901234567901234,0.12682926829268293,0.25092592592592594
Fusion GBDT top3,Feature fusion,0.20111317254174396,0.44155844155844154,0.2763564380192556,0.15315315315315314,0.23214285714285715,0.1934826883910387,0.45454545454545453,0.11038961038961038,0.20562770562770563,0.3377450980392157,0.08641975308641975,0.13170731707317074,0.28055555555555556
Round09 blend top3,Best evidence selector,0.21054421768707482,0.44155844155844154,0.28513172066683373,0.15315315315315314,0.24458874458874458,0.20162932790224034,0.461038961038961,0.11038961038961038,0.21428571428571427,0.32916666666666666,0.1419753086419753,0.13658536585365855,0.32499999999999996
Neural verifier top3,Verifier rerank,0.10290661719233148,0.45454545454545453,0.16781975512838615,0.21770927092709272,0.10476190476190476,0.10590631364562118,0.2792207792207792,0.01948051948051948,0.11255411255411256,0.14558823529411763,0.03395061728395061,0.06829268292682926,0.1398148148148148
Hybrid verifier gamma0.2 top3,Verifier hybrid,0.20381880024737167,0.44155844155844154,0.2789001717684371,0.15315315315315314,0.23517316017316017,0.1955193482688391,0.44805194805194803,0.1038961038961039,0.2077922077922078,0.32475490196078427,0.12345679012345678,0.12682926829268293,0.3111111111111111
Final decoupled system,Round09 evidence + neural label,0.21054421768707482,0.525974025974026,0.3007143157023504,0.454334250386882,0.24458874458874458,0.20162932790224034,0.461038961038961,0.11038961038961038,0.21428571428571427,0.32916666666666666,0.1419753086419753,0.13658536585365855,0.32499999999999996
