gold\pred,SUPPORTS,REFUTES,NOT_ENOUGH_INFO,DISPUTED
SUPPORTS,61,3,3,1
REFUTES,16,8,2,1
NOT_ENOUGH_INFO,29,3,9,0
DISPUTED,14,1,0,3
