method_id,label,category,source,status,max_candidate_count,avg_candidate_count,min_candidate_count,num_claims,num_claims_with_evidence,missing_pool_claims,top_n,macro_recall,micro_recall,hit_any
single_char_tfidf,char Tfidf,single_sparse,round18/outputs/o_sparse/o_s6_char_tfidf/dev_full_dev_o_s6_char_tfidf_tfidf_char_top500_candidates.json,ok,500,500.0,500,154,154,0,300,0.5699134199134199,0.5437881873727087,130
single_char_tfidf,char Tfidf,single_sparse,round18/outputs/o_sparse/o_s6_char_tfidf/dev_full_dev_o_s6_char_tfidf_tfidf_char_top500_candidates.json,ok,500,500.0,500,154,154,0,500,0.661038961038961,0.6334012219959266,137
single_char_tfidf,char Tfidf,single_sparse,round18/outputs/o_sparse/o_s6_char_tfidf/dev_full_dev_o_s6_char_tfidf_tfidf_char_top500_candidates.json,ok,500,500.0,500,154,154,0,1000,,,0
single_char_tfidf,char Tfidf,single_sparse,round18/outputs/o_sparse/o_s6_char_tfidf/dev_full_dev_o_s6_char_tfidf_tfidf_char_top500_candidates.json,ok,500,500.0,500,154,154,0,2000,,,0
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,1,0.037121212121212124,0.032586558044806514,16
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,3,0.04642857142857143,0.04276985743380855,21
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,5,0.07067099567099566,0.06720977596741344,30
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,10,0.10746753246753248,0.09775967413441955,39
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,20,0.14567099567099567,0.1425661914460285,51
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,32,0.2043290043290043,0.19959266802443992,64
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,50,0.28365800865800866,0.26476578411405294,79
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,64,0.30995670995671,0.28716904276985744,86
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,100,0.37575757575757573,0.3421588594704684,97
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,200,0.4573593073593074,0.42362525458248473,109
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,300,0.499025974025974,0.4663951120162933,115
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,500,0.5454545454545454,0.515274949083503,122
single_structured,structured,single_sparse,round18/outputs/o_sparse/o_s2_structured/dev_full_dev_decomposed_candidates.json,ok,500,500.0,500,154,154,0,1000,,,0
