method,retained_k,claims,macro_recall,micro_recall,hit_any,all_gold,avg_candidates,build_seconds,supports_macro_recall,refutes_macro_recall,not_enough_info_macro_recall,disputed_macro_recall
bm25_top500,500,154,0.5861471861471862,0.5560081466395111,0.8376623376623377,0.3246753246753247,500.0,43.64816869099741,0.679656862745098,0.5123456790123456,0.49268292682926834,0.5564814814814816
tfidf_word_top500,500,154,0.5812770562770563,0.5560081466395111,0.8376623376623377,0.3051948051948052,500.0,43.20172126000398,0.665686274509804,0.48456790123456783,0.5219512195121951,0.5425925925925926
tfidf_char_top500,500,154,0.6610389610389611,0.6334012219959266,0.8896103896103896,0.4025974025974026,500.0,122.7348004749947,0.7578431372549019,0.5555555555555556,0.5609756097560976,0.6814814814814816
rrf_bm25_word_tfidf_top500,500,154,0.6037878787878788,0.5743380855397149,0.8571428571428571,0.3246753246753247,500.0,0.0,0.6992647058823529,0.5308641975308641,0.5121951219512195,0.5611111111111111
rrf_bm25_char_tfidf_top500,500,154,0.6579004329004329,0.6334012219959266,0.8896103896103896,0.4090909090909091,500.0,0.0,0.7306372549019609,0.5925925925925926,0.5609756097560976,0.701851851851852
rrf_bm25_word_char_tfidf_top500,500,154,0.6478354978354979,0.6252545824847251,0.8766233766233766,0.38311688311688313,500.0,0.0,0.7215686274509805,0.5617283950617283,0.575609756097561,0.662962962962963
