variant,status,selection_basis,candidate_k,feature_count,learned_ranker_family,cv_macro_recall@1,cv_micro_recall@1,cv_hit_any@1,cv_macro_recall@3,cv_micro_recall@3,cv_hit_any@3,cv_macro_recall@5,cv_micro_recall@5,cv_hit_any@5,cv_macro_recall@10,cv_micro_recall@10,cv_hit_any@10,cv_macro_recall@64,cv_micro_recall@64,cv_hit_any@64,cv_macro_recall@100,cv_micro_recall@100,cv_hit_any@100,cv_macro_recall@500,cv_micro_recall@500,cv_hit_any@500,dev_macro_recall@1,dev_micro_recall@1,dev_hit_any@1,dev_macro_recall@3,dev_micro_recall@3,dev_hit_any@3,dev_macro_recall@5,dev_micro_recall@5,dev_hit_any@5,dev_macro_recall@10,dev_micro_recall@10,dev_hit_any@10,dev_macro_recall@64,dev_micro_recall@64,dev_hit_any@64,dev_macro_recall@100,dev_micro_recall@100,dev_hit_any@100,dev_macro_recall@500,dev_micro_recall@500,dev_hit_any@500
embedding_plus_shallow,strict-candidate,train_kfold,500,38,sklearn_hist_gradient_boosting_classifier,0.08147812620983352,0.06636679460041522,0.2231027044964327,0.17196814335490293,0.14696931187120504,0.38842873734859795,0.22443979868370115,0.1970683948373736,0.4690559150489464,0.3078992865438859,0.2813966861073886,0.5765953210552514,0.5090262706708699,0.48395967700346143,0.7663414634146342,0.5413085006360268,0.5215428781763485,0.7842608262817322,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.08809523809523809,0.06720977596741344,0.21428571428571427,0.19805194805194806,0.1670061099796334,0.4155844155844156,0.29783549783549784,0.2525458248472505,0.551948051948052,0.39816017316017316,0.34623217922606925,0.6753246753246753,0.5783549783549783,0.5437881873727087,0.8571428571428571,0.6196969696969697,0.5784114052953157,0.8831168831168831,0.6579004329004329,0.6334012219959266,0.8896103896103896
embedding_plus_factual,strict-candidate,train_kfold,500,21,sklearn_hist_gradient_boosting_classifier,0.08163530778164925,0.06495429182388271,0.21824124771859962,0.169217908301532,0.1460149933117648,0.38354405176704826,0.21876046678834138,0.19330295761176788,0.46172888667662193,0.2966991869918699,0.26935981833028744,0.5610983905757425,0.503947237431558,0.4784494851759099,0.7614501410320226,0.538729218516675,0.5162100942797483,0.783441181350589,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.07965367965367966,0.059063136456211814,0.18831168831168832,0.20162337662337662,0.1690427698574338,0.43506493506493504,0.2579004329004329,0.2240325865580448,0.487012987012987,0.38246753246753246,0.3340122199592668,0.6558441558441559,0.5804112554112555,0.5458248472505092,0.8506493506493507,0.6063852813852815,0.5682281059063137,0.8766233766233766,0.6579004329004329,0.6334012219959266,0.8896103896103896
embedding_only,strict-candidate,train_kfold,500,1,sklearn_hist_gradient_boosting_classifier,0.07688800398208065,0.06135925353920466,0.2060494441679111,0.1495803329461866,0.12958277259056536,0.3428140036502406,0.20176090924174547,0.17974733330959186,0.43484984237597474,0.27090879929207456,0.24809929583581036,0.5285116973618715,0.4817700901498811,0.45674468637267307,0.7435374149659864,0.5253963829434213,0.5026071404528564,0.7769337979094078,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.08798701298701299,0.06109979633401222,0.19480519480519481,0.18831168831168832,0.15478615071283094,0.3961038961038961,0.25173160173160175,0.20977596741344195,0.487012987012987,0.32932900432900436,0.285132382892057,0.5909090909090909,0.564935064935065,0.5295315682281059,0.8311688311688312,0.5908008658008658,0.5641547861507128,0.8636363636363636,0.6579004329004329,0.6334012219959266,0.8896103896103896
shallow_only,strict-candidate,train_kfold,500,35,sklearn_hist_gradient_boosting_classifier,0.05996510148774957,0.05194864800932245,0.1742658038825286,0.13043968807035008,0.11248690452097368,0.30049112327857974,0.16482915767933187,0.14667895473515652,0.3607433217189315,0.22982583927880093,0.20948729047483855,0.468249543719927,0.4217958630606714,0.3977348962418715,0.6962800730048117,0.47077362977711407,0.4476603994871044,0.7361904761904763,0.5922992091145401,0.5723441148399258,0.8282263149162103,0.09047619047619047,0.07128309572301425,0.22727272727272727,0.14913419913419912,0.1364562118126273,0.35714285714285715,0.19426406926406928,0.17922606924643583,0.4155844155844156,0.27716450216450217,0.2545824847250509,0.5454545454545454,0.4902597402597403,0.45010183299389,0.7597402597402597,0.5379870129870129,0.49490835030549896,0.8051948051948052,0.6579004329004329,0.6334012219959266,0.8896103896103896
